BuildingDirection,Floor,Room,CurrentMAC,CurrentInstance,NewMAC,RoomNumber,UnitNumber,NewInstance
West,3,3A,8,703031,8,03,1,13031
West,3,3B,9,703032,9,03,2,13032
West,3,3C,10,703033,10,03,3,13033
West,3,5,11,703050,11,05,0,13050
West,3,7,12,703070,12,07,0,13070
West,3,8,13,703080,13,08,0,13080
West,3,9,14,703090,14,09,0,13090
West,3,10,15,703100,15,10,0,13100
West,3,11,16,703110,16,11,0,13110
West,3,12,17,703120,17,12,0,13120
West,3,14A,18,703141,18,14,1,13141
West,3,14B,19,703142,19,14,2,13142
West,3,13,20,703130,20,13,0,13130
West,3,16,21,703160,21,16,0,13160
West,3,15,22,703150,22,15,0,13150
West,3,18,23,703180,23,18,0,13180
West,3,17,24,703170,24,17,0,13170
West,3,20,25,703200,25,20,0,13200
West,3,19,26,703190,26,19,0,13190
West,3,22,27,703220,27,22,0,13220
West,3,21,28,703210,28,21,0,13210
West,3,24,29,703240,29,24,0,13240
West,3,34,31,703340,31,34,0,13340
West,3,36,32,703360,32,36,0,13360
West,3,35A,33,703351,33,35,1,13351
West,3,35B,34,703352,34,35,2,13352
West,3,35C,35,703353,35,35,3,13353
West,3,37A,36,703371,36,37,1,13371
West,3,37B,37,703372,37,37,2,13372
West,3,38A,38,703381,38,38,1,13381
West,3,38B,39,703382,39,38,2,13382
West,3,39,40,703390,40,39,0,13390
West,3,40,41,703400,41,40,0,13400
West,3,41,42,703410,42,41,0,13410
West,3,42A,43,703421,43,42,1,13421
West,3,42B,44,703422,44,42,2,13422
West,3,43,45,703430,45,43,0,13430
West,3,44,46,703440,46,44,0,13440
West,3,45,47,703450,47,45,0,13450
West,3,47,48,703470,48,47,0,13470
West,3,48A,49,703481,49,48,1,13481
West,3,48B,50,703482,50,48,2,13482
West,3,49,51,703490,51,49,0,13490
West,3,50,52,703500,52,50,0,13500
West,3,51,53,703510,53,51,0,13510
